Date,Open,Open_,High,High_,Low,Low_,Close,CC,CO,Volume
20130102,97.6,,99.9,,97.1,,99.6,,2,14353
20130103,100.5,0.029713115,102,0.021021021,100,0.029866117,101,1.4,0.5,12616
20130104,100.5,0,101.5,-0.004901961,100,0,101.5,0.5,1,10276
20130107,101,0.004975124,101,-0.004926108,99.1,-0.009,100.5,-1,-0.5,9042
20130108,99.6,-0.013861386,100,-0.00990099,98.9,-0.002018163,99.7,-0.8,0.1,9463
20130109,100.5,0.009036145,100.5,0.005,99.2,0.003033367,100,0.3,-0.5,7616
20130110,99.9,-0.005970149,101,0.004975124,99.5,0.003024194,101,1,1.1,8304
20130111,101.5,0.016016016,101.5,0.004950495,100.5,0.010050251,101,0,-0.5,7982
20130114,101,-0.004926108,102,0.004926108,100,-0.004975124,102,1,1,6414
20130115,102,0.00990099,102,0,99.8,-0.002,100.5,-1.5,-1.5,10021
20130116,100.5,-0.014705882,100.5,-0.014705882,99.2,-0.006012024,99.2,-1.3,-1.3,8742
20130117,100.5,0,101,0.004975124,98.5,-0.007056452,99.3,0.1,-1.2,9034
20130118,101.5,0.009950249,101.5,0.004950495,100.5,0.020304569,101.5,2.2,0,11823
20130121,101,-0.004926108,101,-0.004926108,100,-0.004975124,100.5,-1,-0.5,5625
20130122,101,0,101,0,99.9,-0.001,101,0.5,0,5388
20130123,101.5,0.004950495,101.5,0.004950495,100,0.001001001,101,0,-0.5,7292
20130124,100,-0.014778325,100.5,-0.009852217,99.2,-0.008,99.9,-1.1,-0.1,8257
20130125,99.9,-0.001,99.9,-0.005970149,98,-0.012096774,99,-0.9,-0.9,11885
20130128,98.7,-0.012012012,99.5,-0.004004004,98.6,0.006122449,99.3,0.3,0.6,7200
20130129,100,0.013171226,101.5,0.020100503,99.7,0.011156187,101,1.7,1,12071
20130130,102,0.02,102,0.004926108,100.5,0.008024072,101.5,0.5,-0.5,6963
20130131,100.5,-0.014705882,101.5,-0.004901961,100,-0.004975124,101.5,0,1,6481
20130201,101.5,0.009950249,101.5,0,100.5,0.005,101.5,0,0,7596
20130204,102,0.004926108,103,0.014778325,102,0.014925373,103,1.5,1,10873
20130205,103,0.009803922,103,0,101.5,-0.004901961,103,0,0,5200
20130206,103.5,0.004854369,105,0.019417476,103,0.014778325,105,2,1.5,9340
20130218,107,0.033816425,108.5,0.033333333,106.5,0.033980583,107,2,0,13470
20130219,108.5,0.014018692,108.5,0,106.5,0,107,0,-1.5,6114
20130220,108.5,0,109.5,0.00921659,108,0.014084507,109,2,0.5,10171
20130221,108.5,0,108.5,-0.00913242,107,-0.009259259,107,-2,-1.5,7485
20130222,106,-0.023041475,106.5,-0.01843318,105,-0.018691589,105.5,-1.5,-0.5,10313
20130223,106.5,0.004716981,107.5,0.009389671,106,0.00952381,107,1.5,0.5,3022
20130225,106.5,0,107,-0.004651163,105,-0.009433962,105,-2,-1.5,8564
20130226,103.5,-0.028169014,105,-0.018691589,102.5,-0.023809524,103.5,-1.5,0,9572
20130227,102,-0.014492754,104.5,-0.004761905,101,-0.014634146,104.5,1,2.5,13654
20130301,103,0.009803922,105,0.004784689,102.5,0.014851485,105,0.5,2,9263
20130304,104.5,0.014563107,104.5,-0.004761905,101.5,-0.009756098,102,-3,-2.5,11896
20130305,103.5,-0.009569378,104,-0.004784689,102.5,0.009852217,104,2,0.5,9603
20130306,104,0.004830918,104.5,0.004807692,103,0.004878049,104,0,0,6844
20130307,103.5,-0.004807692,104,-0.004784689,103,0,103,-1,-0.5,6812
20130308,103,-0.004830918,104.5,0.004807692,102,-0.009708738,103.5,0.5,0.5,8598
20130311,102,-0.009708738,104,-0.004784689,102,0,102,-1.5,0,9071
20130312,102,0,103,-0.009615385,101.5,-0.004901961,102.5,0.5,0.5,6294
20130313,102.5,0.004901961,105,0.019417476,102,0.004926108,104.5,2,2,9978
20130314,104,0.014634146,104.5,-0.004761905,103,0.009803922,104,-0.5,0,7022
20130315,105,0.009615385,105,0.004784689,103,0,103,-1,-2,6030
20130318,102,-0.028571429,102,-0.028571429,100.5,-0.024271845,100.5,-2.5,-1.5,11128
20130319,101,-0.009803922,101.5,-0.004901961,99.6,-0.008955224,100,-0.5,-1,11099
20130320,99.5,-0.014851485,99.5,-0.019704433,98.8,-0.008032129,98.8,-1.2,-0.7,13861
20130321,98.8,-0.007035176,100.5,0.010050251,98.7,-0.001012146,98.7,-0.1,-0.1,13448
20130322,98.6,-0.002024291,99.1,-0.013930348,98,-0.007092199,98,-0.7,-0.6,12072
20130325,99.9,0.013184584,100.5,0.014127144,99.2,0.012244898,99.5,1.5,-0.4,7606
20130326,99.2,-0.007007007,99.4,-0.010945274,98.8,-0.004032258,99,-0.5,-0.2,8019
20130327,99,-0.002016129,100.5,0.011066398,98.8,0,100.5,1.5,1.5,7304
20130328,100,0.01010101,100.5,0,99.3,0.005060729,100,-0.5,0,7232
20130329,100,0,101,0.004975124,99.8,0.005035247,100.5,0.5,0.5,5024
20130401,101,0.01,102,0.00990099,100.5,0.007014028,101,0.5,0,4450
20130402,100.5,-0.004950495,101,-0.009803922,99.8,-0.006965174,100.5,-0.5,0,6500
20130403,101.5,0.009950249,101.5,0.004950495,100,0.002004008,100.5,0,-1,6886
20130408,99,-0.024630542,99.5,-0.019704433,98.5,-0.015,98.5,-2,-0.5,11496
20130409,98,-0.01010101,98.5,-0.010050251,97.5,-0.010152284,97.5,-1,-0.5,10389
20130410,98.8,0.008163265,98.8,0.003045685,97.7,0.002051282,98.3,0.8,-0.5,7197
20130411,99,0.002024291,101.5,0.027327935,98.8,0.011258956,101.5,3.2,2.5,12430
20130412,101.5,0.025252525,101.5,0,100,0.012145749,100.5,-1,-1,5602
20130415,100.5,-0.009852217,101,-0.004926108,99.1,-0.009,99.4,-1.1,-1.1,6275
20130416,98.2,-0.022885572,101,0,98.2,-0.009081736,100.5,1.1,2.3,8309
